Studio,PopularitySum,WorkCount
A-1 Pictures,14266489,113
MADHOUSE,12394998,106
bones,11458979,76
J.C.STAFF,11260030,126
MAPPA,8157448,54
Production I.G,7531197,81
Kyoto Animation,7179506,65
WIT STUDIO,6928580,39
Studio Pierrot,6452088,50
CloverWorks,6400280,42
ufotable,4831223,29
SILVER LINK.,4814970,63
TMS Entertainment,4640667,47
WHITE FOX,4635293,28
Studio DEEN,4261101,58
Shaft,4142221,47
Lerche,4099081,39
Sunrise,4069171,60
Toei Animation,4040919,67
David Production,3427840,23
Doga Kobo,3296435,42
Brain's Base,3283497,36
8-bit,3070812,33
P.A.WORKS,3063585,36
LIDENFILMS,2760856,39
Studio Ghibli,2744928,21
OLM,2626912,39
TRIGGER,2484305,19
Kinema Citrus,2331591,21
feel.,1995218,24
CoMix Wave,1806012,11
Satelight,1720363,26
diomedéa,1709985,29
Gainax,1702139,16
GONZO,1611042,32
Xebec,1374101,29
project No.9,1329054,21
Passione,1307332,19
Manglobe,1299318,16
Tezuka Productions,1289657,14
Science SARU,1277718,14
Asread,1258435,13
Seven Arcs,1223453,18
Studio Bind,1222943,8
TNK,1191491,13
Shin-Ei Animation,1024513,16
Zero-G,1003432,15
Bandai Namco Pictures,1002867,17
Telecom Animation Film,950373,7
C2C,943433,12
Studio Gokumi,920354,17
Tatsunoko Production,906584,9
Orange,859729,7
Nexus,854259,6
Ajiado,822165,10
Production IMS,776954,13
EMT Squared,723126,14
ENGI,700200,10
TROYCA,685935,12
GEEKTOYS,679448,12
GoHands,651902,11
EGG FIRM,651547,4
ZEXCS,642299,13
Bibury Animation Studios,636043,8
Lay-duce,632913,10
Arms,626387,8
Artland,626017,10
Graphinica,620203,10
SynergySP,614058,14
PINE JAM,600775,8
Maho Film,596160,12
AIC,595125,13
Studio 3Hz,591101,8
Bridge,564685,7
NAZ,542269,9
Okuruto Noboru,524323,7
Hoods Entertainment,520435,9
Shuka,514532,6
NUT,511958,6
AIC Build,507018,6
Studio VOLN,505965,6
Marvy Jack,498293,6
Studio Khara,495124,5
Signal.MD,484574,7
CONNECT,476724,11
Felix Film,470091,11
Drive,454233,6
Millepensee,445497,7
Yokohama Animation Lab,438380,8
Arvo Animation,432513,7
A.C.G.T.,423161,8
Studio Chizu,390030,4
TOHO animation STUDIO,381338,2
Seven,374894,6
Studio Gallop,366512,6
Studio Colorido,365103,5
studio MOTHER,364773,5
